,Unnamed: 0,age,gender,VCF0113,VCF0146,VCF0311,VCF0359,VCF0361,VCF0371,VCF0373,VCF0392,VCF0719,VCF0720,VCF0731,VCF0740,VCF0846,VCF9021,VCF9030a,VCF9031,VCF0204_dk,VCF0206_dk,VCF0207_dk,VCF0210,VCF0212_dk,VCF0213_dk,VCF0218_dk,VCF0219_dk,VCF0220_dk,VCF0223_dk,VCF0224_dk,VCF0227_dk,VCF0231_dk,VCF0232_dk,VCF0233_dk,VCF0253_dk,VCF0412_dk,VCF0413_dk,VCF0414_dk,VCF0415_dk,VCF0424_dk,VCF0426_dk,VCF0428_dk,VCF0906_dk,VCF0906,VCF0907_dk,VCF0909_dk,VCF9056_dk,VCF0801_dk,VCF0723,VCF0514_dk,VCF0542_dk,VCF0550_dk,VCF0830_dk,VCF9084_dk,VCF9085_dk,VCF9086_dk,VCF9089_dk,VCF9093_dk,VCF9094_dk,VCF0886,VCF0887_dk,VCF0888_dk,VCF0890_dk,VCF0894_dk,VCF9047_dk,VCF9048_dk,VCF9049_dk,VCF0851_dk,VCF0852_dk,VCF0854_dk,VCF9014_dk,VCF9015_dk,VCF9016_dk,VCF9017_dk,VCF9040_dk,VCF9041_dk,VCF9042_dk,VCF0140a,VCF0130,VCF0148,VCF0301,VCF0305,VCF0451_dk,VCF0624_dk,VCF0838_dk,VCF0847,VCF0867a_dk,VCF0870_dk,VCF0871_dk,VCF0872_dk,VCF0879_dk,VCF0881_dk,VCF9009_dk,VCF0105a_oh2,VCF0105a_oh3,VCF0105a_oh5,VCF0107_oh4,VCF0107_oh6,VCF0116_oh1,VCF0128_oh2,VCF0128_oh4,VCF0147_oh1,VCF0147_oh2,VCF0147_oh3,VCF0147_oh4,VCF0147_oh5,VCF0147_oh6,VCF0149_oh1,VCF0149_oh2,VCF0302_oh1,VCF0713_oh1,VCF0713_oh2,VCF0713_oh3,VCF0713_oh4,VCF0713_oh5,VCF0714_oh2,VCF0804_oh1,VCF0804_oh3,VCF0823_oh1,VCF0823_oh2,VCF0904_oh1,VCF0904_oh2,VCF0904_oh3,VCF1004_oh2,VCF1004_oh4,VCF9030_oh2,VCF9030_oh3,VCF9030_oh4,VCF9131_oh1,VCF9131_oh3,VCF9132_oh3,VCF0218_int,VCF0224_int,VCF0290_int,VCF0291_int,VCF0426_int,VCF0427_int,VCF0906_int,VCF0907_int,VCF0908_int,VCF0909_int
639,,96.0,1,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,50.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,50.0,False,False,True,True,1.0,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,3.0,5.0,1.0,4.0,False,True,False,2.0,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,400.0,0.0,0.0,,0.0,
640,,78.0,1,0,1.0,1.0,0.0,,1.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,False,60.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,60.0,False,False,False,False,2.0,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0,4.0,7.0,3.0,2.0,False,False,False,1.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,0.0,400.0,100.0,100.0,100.0,,100.0,
641,,29.0,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,False,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,50.0,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0,3.0,2.0,3.0,2.0,False,False,False,2.0,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.0,1225.0,0.0,1225.0,0.0,1225.0,0.0,400.0,0.0,400.0
642,,56.0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,45.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,65.0,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0,1.0,5.0,3.0,2.0,False,False,False,3.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,400.0,1225.0,225.0,,225.0,
643,,40.0,1,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,False,False,40.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,60.0,True,True,False,False,1.0,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0,1.0,2.0,4.0,1.0,False,False,False,3.0,True,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.0,1225.0,1225.0,0.0,1225.0,2500.0,100.0,,100.0,
644,,74.0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,False,False,False,95.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,100.0,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,2.0,2.0,1.0,4.0,False,False,False,3.0,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2025.0,25.0,400.0,625.0,100.0,25.0,2500.0,400.0,400.0,2500.0
645,,30.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,50.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,True,True,False,False,2.0,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.0,1.0,5.0,5.0,2.0,False,False,False,3.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,,,,
646,,70.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,40.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,50.0,False,False,False,False,1.0,False,False,True,True,False,False,False,True,False,False,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,5.0,5.0,5.0,2.0,False,False,False,3.0,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,400.0,1225.0,25.0,900.0,1225.0,0.0,0.0,400.0,400.0,0.0
647,,76.0,1,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,60.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,50.0,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,3.0,4.0,3.0,2.0,False,False,False,1.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,100.0,225.0,25.0,400.0,400.0,0.0,100.0,100.0,0.0
648,,25.0,1,1,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,False,False,False,50.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,True,True,False,False,1.0,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,5.0,1.0,,3.0,2.0,False,False,False,3.0,True,False,False,False,False,False,True,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,625.0,100.0,25.0,225.0,0.0,,,,,
649,,35.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,False,False,65.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0,1.0,7.0,3.0,2.0,False,False,False,3.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,,625.0,,625.0
650,,51.0,0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,60.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0,5.0,2.0,3.0,2.0,False,False,False,0.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,100.0,25.0,225.0,100.0,0.0,,0.0,,
651,,40.0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,50.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,100.0,False,False,False,False,1.0,True,True,True,False,False,False,True,True,False,True,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,5.0,5.0,1.0,4.0,False,False,False,2.0,False,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.0,400.0,25.0,625.0,400.0,400.0,2500.0,1225.0,2500.0,1225.0
652,,53.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,50.0,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.0,5.0,7.0,6.0,3.0,False,False,False,2.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,100.0,0.0,100.0,1225.0,1225.0,0.0,1225.0,,
653,,38.0,0,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,4.0,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,4.0,5.0,7.0,4.0,False,False,False,2.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2500.0,1225.0,100.0,2025.0,1225.0,2025.0,,,,
654,,71.0,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,False,False,False,70.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,3.0,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0,1.0,5.0,4.0,1.0,False,False,False,3.0,True,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,400.0,400.0,400.0,0.0,1225.0,1225.0,,1225.0,,
655,,46.0,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,70.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,75.0,False,False,False,False,2.0,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.0,5.0,5.0,1.0,4.0,False,False,False,2.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,400.0,25.0,225.0,100.0,100.0,625.0,625.0,625.0,625.0
656,,24.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,50.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,True,True,False,False,1.0,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0,5.0,5.0,6.0,3.0,False,False,False,0.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,400.0,100.0,100.0,0.0,0.0,,,,
657,,87.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,True,True,True,,False,False,False,False,True,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,,False,False,True,True,1.0,False,False,False,False,False,False,False,False,False,False,1.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,5.0,1.0,,2.0,3.0,False,True,False,3.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2500.0,2500.0,2500.0,0.0,2025.0,,,,,
658,,38.0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,75.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,80.0,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,1.0,2.0,1.0,4.0,False,False,False,3.0,False,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,100.0,400.0,100.0,0.0,100.0,900.0,,400.0,900.0
659,,27.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,True,True,True,,False,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,50.0,False,False,False,True,2.0,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0,2.0,3.0,1.0,4.0,False,False,False,3.0,False,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,100.0,100.0,100.0,,0.0,,,
660,,37.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,False,False,False,90.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,75.0,False,False,False,False,2.0,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0,3.0,2.0,2.0,3.0,False,False,False,3.0,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,100.0,225.0,25.0,100.0,,625.0,400.0,400.0,625.0
661,,33.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,95.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,50.0,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,5.0,5.0,3.0,2.0,False,False,False,3.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,400.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0
662,,23.0,0,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False,75.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,60.0,False,False,False,False,4.0,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,5.0,5.0,1.0,4.0,False,False,False,0.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.0,2025.0,0.0,2025.0,2500.0,2500.0,100.0,1600.0,100.0,1600.0
663,,48.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,False,False,False,40.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,50.0,False,False,False,False,4.0,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.0,2.0,5.0,6.0,3.0,False,False,False,2.0,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1225.0,100.0,225.0,625.0,1225.0,2025.0,0.0,,0.0,
664,,80.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,True,False,,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,,True,True,False,True,1.0,True,True,True,False,True,False,True,True,False,True,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0,1.0,5.0,4.0,1.0,False,False,False,3.0,False,False,False,False,False,True,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,,,,,
665,,57.0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,30.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.0,True,True,False,False,1.0,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0,4.0,5.0,6.0,3.0,False,False,False,1.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.0,400.0,625.0,25.0,400.0,400.0,1225.0,,1225.0,
666,,37.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,40.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,1.0,True,False,True,False,True,False,False,True,False,False,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0,4.0,7.0,3.0,2.0,False,False,False,1.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,,,,,
667,,32.0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,70.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,60.0,False,False,False,False,2.0,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0,5.0,4.0,3.0,2.0,False,False,False,0.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,2500.0,1225.0,225.0,2500.0,2500.0,100.0,2500.0,,
668,,80.0,0,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,False,False,False,85.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,True,False,False,1.0,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0,1.0,4.0,1.0,4.0,False,False,False,3.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.0,400.0,625.0,25.0,100.0,1225.0,,1225.0,1225.0,
